,entityname,fulladdress
156,Boys and Girls Clubs of Chicago,"4835 N Sheridan Rd, Chicago IL, 60640"
158,Boys and Girls Clubs of Chicago,"3400 S Emerald Ave, Chicago IL, 60616"
160,Boys and Girls Clubs of Chicago,"3228 W Palmer St, Chicago IL, 60647"
162,Boys and Girls Clubs of Chicago,"2102 W Monroe St, Chicago IL, 60612"
164,Boys and Girls Clubs of Chicago,"2950 W 25th St, Chicago IL, 60623"
166,Boys and Girls Clubs of Chicago,"1425 W 112th, Chicago IL, 60643"
168,Chinese American Service League,"2141 S Tan Ct, Chicago IL, 60616"
170,Gads Hill,"1919 W Cullerton St, Chicago IL, 60608"
172,Catholic Charities of Archdioces,"1021 E 83rd St, Chicago IL, 60619"
176,Catholic Charities of Archdioces,"2831 W Lawrence Ave, Chicago IL, 60625"
180,Catholic Charities of Archdioces,"9231 S Cottage Grove, Chicago IL, 60619"
184,Catholic Charities of Archdioces,"2653 W Ogden, Chicago IL, 60608"
185,Catholic Charities of Archdioces,"50 W 71st St, Chicago IL, 60621"
187,Catholic Charities of Archdioces,"5332 S Western Ave, Chicago IL, 60609"
191,Catholic Charities of Archdioces,"3110 W Armitage, Chicago IL, 60647"
195,Catholic Charities of Archdioces,"8959 S Commercial, Chicago IL, 60617"
199,Catholic Charities of Archdioces,"2400 S Kedzie, Chicago IL, 60623"
205,Catholic Charities of Archdioces,"6844 S Indiana, Chicago IL, 60637"
209,Catholic Charities of Archdioces,"6435 W Belmont, Chicago IL, 60634"
211,Catholic Charities of Archdioces,"8235 S South Shore Dr, Chicago IL, 60617"
213,Catholic Charities of Archdioces,"3643 W Belmont, Chicago IL, 60618"
214,Catholic Charities of Archdioces,"6216 N Clark St, Chicago IL, 60660"
218,Catholic Charities of Archdioces,"10623 S Halsted St, Chicago IL, 60628"
222,Catholic Charities of Archdioces,"2121 N Keeler Ave, Chicago IL, 60639"
229,Greater Chicago Food Depository,"1240 S Pulaski, Chicago IL, 60623"
230,Greater Chicago Food Depository,"10420 S Halsted, Chicago IL, 60628"
231,Greater Chicago Food Depository,"2020 S Blue Island Ave, Chicago IL, 60608"
232,Greater Chicago Food Depository,"6200 W Bloomingdale Ave, Chicago IL, 60639"
233,Greater Chicago Food Depository,"5437 W Division St, Chicago IL, 60651"
234,Greater Chicago Food Depository,"4438 W Wrightwood Ave, Chicago IL, 60639"
235,Greater Chicago Food Depository,"3501 N Kilbourn Ave, Chicago IL, 60641"
236,Greater Chicago Food Depository,"2732 N Avers Ave, Chicago IL, 60647"
237,Greater Chicago Food Depository,"3147 W Douglas Blvd, Chicago IL, 60623"
239,Greater Chicago Food Depository,"218 S Wabash Ave Ste 600, Chicago IL, 60604"
240,Greater Chicago Food Depository,"2424 W Touhy Ave, Chicago IL, 60645"
241,Greater Chicago Food Depository,"3039 E 91st St, Chicago IL, 60617"
242,Greater Chicago Food Depository,"2700 S Western Ave, Chicago IL, 60608"
243,Greater Chicago Food Depository,"500 S Central Ave, Chicago IL, 60644"
244,Greater Chicago Food Depository,"3947 S Michigan Ave, Chicago IL, 60653"
245,Greater Chicago Food Depository,"4600 S Honore St, Chicago IL, 60609"
246,Greater Chicago Food Depository,"1512 S Pulaski Rd, Chicago IL, 60623"
247,Greater Chicago Food Depository,"1214 N Washtenaw Ave, Chicago IL, 60622"
248,Greater Chicago Food Depository,"2157 W 19th St, Chicago IL, 60608"
249,Greater Chicago Food Depository,"1060 E 47th St, Chicago IL, 60653"
250,Greater Chicago Food Depository,"3415 W 13th Pl, Chicago IL, 60623"
251,Greater Chicago Food Depository,"2520 S Western, Chicago IL, 60608"
252,Greater Chicago Food Depository,"7731 N Marshfield Ave, Chicago IL, 60626"
253,Greater Chicago Food Depository,"7131 S South Chicago Ave, Chicago IL, 60619"
255,Greater Chicago Food Depository,"6328 N California Ave, Chicago IL, 60659"
256,Greater Chicago Food Depository,"6235 S Homan Ave, Chicago IL, 60629"
257,Greater Chicago Food Depository,"824 N Hamlin Ave, Chicago IL, 60651"
259,Greater Chicago Food Depository,"119 E Garfield Blvd, Chicago IL, 60637"
260,Greater Chicago Food Depository,"400 W 76th St, Chicago IL, 60620"
261,Greater Chicago Food Depository,"4943 W Quincy, Chicago IL, 60644"
262,Greater Chicago Food Depository,"730 W 69th St, Chicago IL, 60621"
264,Greater Chicago Food Depository,"4730 North Sheridan, Chicago IL, 60640"
267,Greater Chicago Food Depository,"4225 W 25th St, Chicago IL, 60623"
273,Greater Chicago Food Depository,"1410 N Springfield, Chicago IL, 60651"
275,Greater Chicago Food Depository,"3219 W. Carroll Avenue, Chicago IL, 60624"
276,Greater Chicago Food Depository,"2859 W. Jackson, Chicago IL, 60612"
277,Greater Chicago Food Depository,"1016 W Argyle St, Chicago IL, 60640"
278,Greater Chicago Food Depository,"4730 N Sheridan Rd, Chicago IL, 60640"
279,Charles A Hayes Family Invest,"4455 S King Dr, Chicago IL, 60653"
601,Casa Central,"1343 N California Ave, Chicago IL, 60622"
603,Casa Central,"1322 N Kedzie, Chicago IL, 60651"
605,Erie Neighborhood House,"1347 W Erie St, Chicago IL, 60642"
613,Youth & Opportunity United Inc,"914 Ashland Street, Chicago IL, 60202"
