,id,ada2015,ada2016,adp2015,averagedailyparticipation2016,chicago2015,chicago2016,claimcalendarmonth2015,claimcalendaryear2015,claimcalendaryear2016,daysclaimed2015,daysclaimed2016,eligibleforfreeandreduced2016,eligibles2015,enrol2015,enrol2016,federalfiscalyear2015,freeandreducedmealcount2016,freeeligibles2016,freemealcount2016,mealcount2015,paideligibles2016,paidmealcount2016,programyear2015,programyear2016,reducedeligibles2016,reducedmealcount2016,sitenumber2015,sitenumber2016,sitezipplus42016,statefiscalyear2015,zip2015,zipplus42015,fulladdress2015_x,fulladdress2016_x,fulladdress2015_y,fulladdress2016_y,fulladdress2015,fulladdress2016,id_adr,Input,Coordinates,Lat,Lng
252,53684,7.416666666666667,5.375,1.0555555555555556,2.3785552311250004,1.0,1.0,6.5,2014.75,2015.625,30.416666666666668,28.75,6.75,7.916666666666667,7.916666666666667,6.75,2015.0,69.5,6.75,69.5,36.69444444444444,0.0,0.0,2015.0833333333333,2016.0,0.0,0.0,53684.0,53684.0,2417.0,2015.25,60626.0,2417.0,"1737 W Touhy Ave, Chicago IL, 60626","1737 W Touhy Ave, Chicago IL, 60626","1737 W Touhy Ave, Chicago IL, 60626","1737 W Touhy Ave, Chicago IL, 60626","1737 W Touhy Ave, Chicago IL, 60626","1737 W Touhy Ave, Chicago IL, 60626","1737wtouhyave,chicagoil,60626","1737 W Touhy Ave, Chicago IL, 60626","42.012443,-87.6739149",42.012443,-87.6739149
253,54768,681.0,687.375,68.86363636363636,148.3292965375,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.727272727272727,18.625,721.5,469.11764705882354,725.0,721.5,2015.0,2719.125,721.5,2719.125,1169.6818181818182,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,54768.0,54768.0,2716.0,2015.1818181818182,60652.0,2716.0,"8130 S California Ave, Chicago IL, 60652","8130 S California Ave, Chicago IL, 60652","8130 S California Ave, Chicago IL, 60652","8130 S California Ave, Chicago IL, 60652","8130 S California Ave, Chicago IL, 60652","8130 S California Ave, Chicago IL, 60652","8130scaliforniaave,chicagoil,60652","8130 S California Ave, Chicago IL, 60652","41.7452155,-87.69313820000002",41.7452155,-87.69313820000002
254,57065,485.45454545454544,476.0,107.54545454545455,257.4163888125,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,17.0,18.625,491.75,306.94444444444446,502.27272727272725,491.75,2015.0,4794.625,491.75,4794.625,1821.409090909091,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,57065.0,57065.0,3003.0,2015.1818181818182,60636.0,3003.0,"6515 S Ashland Ave, Chicago IL, 60636","6515 S Ashland Ave, Chicago IL, 60636","6515 S Ashland Ave, Chicago IL, 60636","6515 S Ashland Ave, Chicago IL, 60636","6515 S Ashland Ave, Chicago IL, 60636","6515 S Ashland Ave, Chicago IL, 60636","6515sashlandave,chicagoil,60636","6515 S Ashland Ave, Chicago IL, 60636","41.7751925,-87.66370970000003",41.7751925,-87.66370970000003
255,58932,502.6363636363636,505.25,80.63636363636364,163.6441177125,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.818181818181817,18.625,515.0,319.72222222222223,523.1818181818181,515.0,2015.0,3055.125,515.0,3055.125,1405.409090909091,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,58932.0,58932.0,4557.0,2015.1818181818182,60620.0,4557.0,"1817 W 80th St, Chicago IL, 60620","1817 W 80th St, Chicago IL, 60620","1817 W 80th St, Chicago IL, 60620","1817 W 80th St, Chicago IL, 60620","1817 W 80th St, Chicago IL, 60620","1817 W 80th St, Chicago IL, 60620","1817w80thst,chicagoil,60620","1817 W 80th St, Chicago IL, 60620","41.7481373,-87.66896480000003",41.7481373,-87.66896480000003
256,58933,493.45454545454544,513.5,59.68181818181818,130.42162960000002,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,17.0,18.75,535.5,346.05882352941177,534.8181818181819,535.5,2015.0,2445.125,535.5,2445.125,1031.090909090909,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,58933.0,58933.0,4413.0,2015.1818181818182,60618.0,4413.0,"3820 N Spaulding Ave, Chicago IL, 60618","3820 N Spaulding Ave, Chicago IL, 60618","3820 N Spaulding Ave, Chicago IL, 60618","3820 N Spaulding Ave, Chicago IL, 60618","3820 N Spaulding Ave, Chicago IL, 60618","3820 N Spaulding Ave, Chicago IL, 60618","3820nspauldingave,chicagoil,60618","3820 N Spaulding Ave, Chicago IL, 60618","41.9507422,-87.71072759999998",41.9507422,-87.71072759999998
257,59074,505.8181818181818,490.25,133.0909090909091,186.2907385625,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.454545454545453,18.125,515.0,336.47058823529414,520.0,515.0,2015.0,3366.75,515.0,3366.75,2245.6363636363635,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,59074.0,59074.0,3009.0,2015.1818181818182,60644.0,3009.0,"5608 W Washington Blvd, Chicago IL, 60644","5608 W Washington Blvd, Chicago IL, 60644","5608 W Washington Blvd, Chicago IL, 60644","5608 W Washington Blvd, Chicago IL, 60644","5608 W Washington Blvd, Chicago IL, 60644","5608 W Washington Blvd, Chicago IL, 60644","5608wwashingtonblvd,chicagoil,60644","5608 W Washington Blvd, Chicago IL, 60644","41.8825194,-87.76543049999998",41.8825194,-87.76543049999998
258,60992,442.6363636363636,449.625,118.13636363636364,224.856753875,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.545454545454547,18.125,480.125,293.55555555555554,480.3636363636364,480.125,2015.0,4076.0,480.125,4076.0,1961.2272727272727,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,60992.0,60992.0,5367.0,2015.1818181818182,60644.0,5367.0,"5545 W Harrison St, Chicago IL, 60644","5545 W Harrison St, Chicago IL, 60644","5545 W Harrison St, Chicago IL, 60644","5545 W Harrison St, Chicago IL, 60644","5545 W Harrison St, Chicago IL, 60644","5545 W Harrison St, Chicago IL, 60644","5545wharrisonst,chicagoil,60644","5545 W Harrison St, Chicago IL, 60644","41.8725092,-87.76359539999999",41.8725092,-87.76359539999999
259,63380,296.125,315.6666666666667,22.833333333333332,72.86507936666666,1.0,1.0,5.5,2014.75,2015.0,16.75,18.0,315.0,101.79166666666667,305.125,324.0,2015.0,1330.0,290.0,1293.0,391.5,9.0,0.3333333333333333,2015.0,2016.0,25.0,37.0,63380.0,63380.0,4324.0,2015.0,60644.0,4324.0,"5088 W Jackson Blvd, Chicago IL, 60644","5088 W Jackson Blvd, Chicago IL, 60644","5088 W Jackson Blvd, Chicago IL, 60644","5088 W Jackson Blvd, Chicago IL, 60644","5088 W Jackson Blvd, Chicago IL, 60644","5088 W Jackson Blvd, Chicago IL, 60644","5088wjacksonblvd,chicagoil,60644","5088 W Jackson Blvd, Chicago IL, 60644","41.8771423,-87.7526631",41.8771423,-87.7526631
260,64677,996.1818181818181,997.25,176.27272727272728,354.2103326375,1.0,1.0,6.363636363636363,2014.7272727272727,2015.625,15.818181818181818,18.0,1051.25,527.6818181818181,1055.3636363636363,1051.25,2015.0,6376.625,1051.25,6376.625,3080.590909090909,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,64677.0,64677.0,5216.0,2015.1818181818182,60634.0,5216.0,"3000 N Mango Ave, Chicago IL, 60634","3000 N Mango Ave, Chicago IL, 60634","3000 N Mango Ave, Chicago IL, 60634","3000 N Mango Ave, Chicago IL, 60634","3000 N Mango Ave, Chicago IL, 60634","3000 N Mango Ave, Chicago IL, 60634","3000nmangoave,chicagoil,60634","3000 N Mango Ave, Chicago IL, 60634","41.9353592,-87.77037380000002",41.9353592,-87.77037380000002
261,66271,189.65625,179.77777777777777,7.9375,17.102034496666665,1.0,1.0,6.34375,2014.75,2015.6666666666667,15.21875,17.333333333333332,130.22222222222223,69.71875,202.71875,187.44444444444446,2015.0,298.0,110.55555555555556,281.3333333333333,135.9375,57.22222222222222,9.444444444444445,2015.09375,2016.0,19.666666666666668,16.666666666666668,66271.0,66271.0,1850.0,2015.1875,60622.0,1850.0,"1501 N Oakley Blvd, Chicago IL, 60622","1501 N Oakley Blvd, Chicago IL, 60622","1501 N Oakley Blvd, Chicago IL, 60622","1501 N Oakley Blvd, Chicago IL, 60622","1501 N Oakley Blvd, Chicago IL, 60622","1501 N Oakley Blvd, Chicago IL, 60622","1501noakleyblvd,chicagoil,60622","1501 N Oakley Blvd, Chicago IL, 60622","41.9092512,-87.68409079999998",41.9092512,-87.68409079999998
